English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Khmer Word
aback	0	0	0	0	0	0	0	0	0	0	ភ្ញាក់ផ្អើល
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	បោះបង់ចោល
abandoned	1	0	0	1	0	1	0	1	0	0	បោះបង់ចោល
abandonment	1	0	0	1	0	1	0	1	1	0	ការបោះបង់ចោល
abate	0	0	0	0	0	0	0	0	0	0	ធូរស្រាល
abatement	0	0	0	0	0	0	0	0	0	0	ការធូរស្រាល
abba	0	0	0	0	0	0	1	0	0	0	អាបា
abbot	0	0	0	0	0	0	0	0	0	1	អាចារ្យ
abbreviate	0	0	0	0	0	0	0	0	0	0	អក្សរកាត់
abbreviation	0	0	0	0	0	0	0	0	0	0	អក្សរកាត់
abdomen	0	0	0	0	0	0	0	0	0	0	ពោះ
abdominal	0	0	0	0	0	0	0	0	0	0	ពោះ
abduction	0	0	0	1	0	1	0	1	1	0	ការចាប់ពង្រត់
aberrant	0	0	0	0	0	1	0	0	0	0	ខុស
aberration	0	0	1	0	0	1	0	0	0	0	ភាពខុសប្រក្រតី
abeyance	0	0	0	0	0	0	0	0	0	0	ការលះបង់
abhor	1	0	1	1	0	1	0	0	0	0	ស្អប់
abhorrent	1	0	1	1	0	1	0	0	0	0	ស្អប់ខ្ពើម
abide	0	0	0	0	0	0	0	0	0	0	ស្នាក់នៅ
ability	0	0	0	0	0	0	1	0	0	0	សមត្ថភាព
abject	0	0	1	0	0	1	0	0	0	0	អន់ចិត្ត
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	ឆេះ
abnormal	0	0	1	0	0	1	0	0	0	0	មិនធម្មតា
aboard	0	0	0	0	0	0	0	0	0	0	នៅលើយន្តហោះ
abode	0	0	0	0	0	0	0	0	0	0	លំនៅដ្ឋាន
abolish	1	0	0	0	0	1	0	0	0	0	លុបចោល
abolition	0	0	0	0	0	1	0	0	0	0	ការលុបបំបាត់
abominable	0	0	1	1	0	1	0	0	0	0	គួរ​ឲ្យ​ស្អប់​ខ្ពើម
abomination	1	0	1	1	0	1	0	0	0	0	ការស្អប់ខ្ពើម
aboriginal	0	0	0	0	0	0	0	0	0	0	ជនជាតិដើម
abort	0	0	0	0	0	1	0	0	0	0	រំលូតកូន
abortion	0	0	1	1	0	1	0	1	0	0	ការរំលូតកូន
abortive	0	0	0	0	0	1	0	1	0	0	រំលូតកូន
abound	0	0	0	0	0	0	0	0	0	0	សម្បូរ
abovementioned	0	0	0	0	0	0	1	0	0	0	ដែលបានរៀបរាប់ខាងលើ
abrasion	0	0	0	0	0	1	0	0	0	0	សំណឹក
abroad	0	0	0	0	0	0	0	0	0	0	នៅបរទេស
abrogate	0	0	0	0	0	1	0	0	0	0	លុបចោល
abrupt	0	0	0	0	0	0	0	0	1	0	ភ្លាមៗ
abruptly	0	0	0	0	0	0	0	0	0	0	ភ្លាមៗ
abscess	0	0	0	0	0	1	0	1	0	0	អាប់ស
absence	0	0	0	1	0	1	0	1	0	0	អវត្តមាន
absent	0	0	0	0	0	1	0	1	0	0	អវត្តមាន
absentee	0	0	0	0	0	1	0	1	0	0	អវត្តមាន
absenteeism	0	0	0	0	0	1	0	0	0	0	អវត្តមាន
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ដាច់ខាត
absolution	0	0	0	0	1	0	1	0	0	1	ការរំលាយ
absorbed	0	0	0	0	0	0	1	0	0	0	ស្រូប
absorbent	0	0	0	0	0	0	0	0	0	0	ស្រូប
absorbing	0	0	0	0	0	0	0	0	0	0	ស្រូប
absorption	0	0	0	0	0	0	0	0	0	0	ការស្រូបយក
abstain	0	0	0	0	0	0	0	0	0	0	ហាមប្រាម
abstention	0	0	0	0	0	0	0	0	0	0	ការហាមឃាត់
abstinence	0	0	0	0	0	0	0	0	0	0	ការអត់ឱន
abstract	0	0	0	0	0	0	0	0	0	0	អរូបី
abstraction	0	0	0	0	0	0	0	0	0	0	អរូបី
absurd	0	0	0	0	0	1	0	0	0	0	មិនសមហេតុផល
absurdity	0	0	0	0	0	1	0	0	0	0	ភាពមិនសមហេតុផល
abundance	0	1	1	0	1	1	1	0	0	1	ភាពសម្បូរបែប
abundant	0	0	0	0	1	0	1	0	0	0	សម្បូរបែប
abuse	1	0	1	1	0	1	0	1	0	0	ការរំលោភបំពាន
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	អាប៊ី
abysmal	0	0	0	0	0	1	0	1	0	0	អាប់អួរ
abyss	0	0	0	1	0	1	0	1	0	0	ទីជ្រៅ
academic	0	0	0	0	0	0	1	0	0	1	សិក្សា
academy	0	0	0	0	0	0	1	0	0	0	បណ្ឌិត្យសភា
accede	0	0	0	0	0	0	0	0	0	0	ចូល
accelerate	0	1	0	0	0	0	0	0	0	0	បង្កើនល្បឿន
acceleration	0	0	0	0	0	0	0	0	0	0	ការបង្កើនល្បឿន
accent	0	0	0	0	0	0	0	0	0	0	ការសង្កត់សំឡេង
accentuate	0	0	0	0	0	0	0	0	0	0	សង្កត់សំឡេង
accept	0	0	0	0	0	0	0	0	0	0	ទទួលយក
acceptable	0	0	0	0	0	0	1	0	0	0	អាចទទួលយកបាន។
acceptance	0	0	0	0	0	0	1	0	0	0	ការទទួលយក
access	0	0	0	0	0	0	0	0	0	0	ការចូលប្រើ
accessible	0	0	0	0	0	0	1	0	0	0	អាចចូលប្រើបាន។
accession	0	0	0	0	0	0	0	0	0	0	ការចូល
accessory	0	0	0	0	0	0	0	0	0	0	គ្រឿងបន្លាស់
accident	0	0	0	1	0	1	0	1	1	0	គ្រោះថ្នាក់
accidental	0	0	0	1	0	1	0	0	1	0	ចៃដន្យ
accidentally	0	0	0	0	0	0	0	0	1	0	ចៃដន្យ
accolade	0	1	0	0	1	0	1	0	1	1	រង្វាន់
accommodate	0	0	0	0	0	0	0	0	0	0	ស្នាក់នៅ
accommodation	0	0	0	0	0	0	1	0	0	0	កន្លែងស្នាក់នៅ
accompaniment	0	1	0	0	1	0	1	0	0	1	អមដំណើរ
accompany	0	0	0	0	0	0	0	0	0	0	អមដំណើរ
accompanying	0	0	0	0	0	0	0	0	0	0	ជាមួយ
accomplice	0	0	0	0	0	0	0	0	0	0	សមគំនិត
accomplish	0	0	0	0	1	0	1	0	0	0	សម្រេច
accomplished	0	0	0	0	1	0	1	0	0	0	បានសម្រេច
accomplishment	0	0	0	0	0	0	1	0	0	0	សមិទ្ធិផល
accord	0	0	0	0	0	0	1	0	0	1	ស្រប
accordance	0	0	0	0	0	0	0	0	0	0	អនុលោមតាម
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	គណនី
accountability	0	0	0	0	0	0	1	0	0	1	គណនេយ្យភាព
accountable	0	0	0	0	0	0	1	0	0	1	ទទួលខុសត្រូវ
accountant	0	0	0	0	0	0	0	0	0	1	គណនេយ្យករ
accounting	0	0	0	0	0	0	0	0	0	0	គណនេយ្យ
accounts	0	0	0	0	0	0	0	0	0	1	គណនី
accredited	0	0	0	0	0	0	1	0	0	1	ទទួលស្គាល់
accretion	0	0	0	0	0	0	0	0	0	0	ការបន្ថែម
accrue	0	0	0	0	0	0	0	0	0	0	កើនឡើង
accueil	0	0	0	0	0	0	1	0	0	0	បន្ទរ
accumulate	0	0	0	0	0	0	0	0	0	0	កកកុញ
accumulation	0	0	0	0	0	0	0	0	0	0	ការប្រមូលផ្តុំ
accuracy	0	0	0	0	0	0	0	0	0	0	ភាព​ត្រឹមត្រូវ
accurate	0	0	0	0	0	0	1	0	0	1	ត្រឹមត្រូវ។
accursed	1	0	0	1	0	1	0	1	0	0	បណ្តាសា
accusation	1	0	1	0	0	1	0	0	0	0	ការចោទប្រកាន់
accusative	0	0	0	0	0	1	0	0	0	0	ចោទប្រកាន់
accused	1	0	0	1	0	1	0	0	0	0	ជនជាប់ចោទ
accuser	1	0	0	1	0	1	0	0	0	0	អ្នកចោទប្រកាន់
accusing	1	0	0	1	0	1	0	0	0	0	ចោទប្រកាន់
