"label","text","googleScore","VADER"
"Positive","?RT @justinbiebcr: The bigger the better....if you know what I mean ;)",0.3,0.226347954672536
"Positive","Listening to the ""New Age"" station on @SlackerRadio ? http://slacker.com/r/nqKf",0.2,0
"Neutral","I favorited a YouTube video -- Drake and Josh - The Storm ""We will rock you"" http://youtu.be/v1Cib4kDPsI?a",0,0.401923825269382
"Positive","i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!",0.8,0.854034803694975
"Neutral","I wana see the vid Kyan",0,0
"Negative","if my mom went on for the love of ray J or any reality show i'd bee pissed .",-0.1,0
"Neutral","Ok so I just got a deal for my own show ""For The Love Of Deez Nuts"" go to VH1/deezNuts to apply ....R u here for Deez Nuts???",0.4,-0.235859505027812
"Positive","@Mrhilton1985 Welcome to Twitter xx",0.6,0.458831467741123
"Neutral","@kjbmusic oh yeah... however, I'd still like to be in the midst of it all though... u know...",0.3,0.361157559257308
"Neutral","Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =)",0.3,0.717550465929509
"Neutral","I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they'd be happy for me to use? http://bit.ly/b1PWLh",0.2,0.757936728959867
"Positive","@JonathanRKnight so twitpic it lol, I love Home Depot, love working w/my hands and building things, my dad was in construction",0.9,0.926880670440809
"Negative","@BarCough it's enough to make you sick, eh? there's nothing sacred anymore",-0.6,-0.510607056638284
"Positive","Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..",0.5,0
"Neutral","DJ K-City presents ""Crank of America"" THE MIXTAPE. wanna be on it? DM me. http://twitpic.com/10tti2 PLS RT",0,0.257710267561722
"Negative","""Iran, with its unity and God's grace, will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned,""",-0.8,-0.202288694969669
"Neutral","www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... http://bit.ly/bvgzLs",0.4,0.636949942926426
"Neutral","#4WordsOnObamasHand Don't Say The N-Word",-0.3,0
"Negative","City watchdog in chaos as chief executive Hector Sants resigns just months before general election",-0.1,-0.7184212081071
"Neutral","RT @MangaUK: God it is a big news day today! By popular demand, ""Ah! My Goddess Season 2"" will be released in 3 2-disc sets: May, Jul, Sep.",0.1,0.610325061003644
"Neutral","Wow my sis said she gona get a tramp stamp tat LOL I told her it's to late for that ha ha evil laugh",0.2,0.908743807221093
"Positive","@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --",0.1,0.797300203113013
"Neutral","@zzramesses yes; hope to release that feature next month",0.3,0.68082252702501
"Neutral","Phil Collins- You Can't Hurry Love",0,-0.521638748902634
"Negative","i need money! i need new car!!! jesus...somebody please buy my old car :DDD",0.1,0.537398342273711
"Negative","In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...",0.6,0
"Positive","RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers",0.3,0.937953207105654
"Negative","@ShiedhaO well damn! Renee still aint playin, is she?! and neither is Jack!! @LikasParody",0,-0.415272699770023
"Neutral","@heydusti oh, geez, I'd have a lot more songs that way.",-0.1,0
"Neutral","@natuhtack I will have some apple chicken sausage delivered to you.",0.2,0
"Neutral","@wendywave1 HAHAHAH that was worded weird. I'm reading while a candle is burning in my room",0,-0.177857560463629
"Neutral","@KantGitRite you should follow me while ur at it u tickle my dick with ur comments",0,-0.510607056638284
"Neutral","RT @importantdate: You can preview the exclusive Tim Burton's #Alice Boutique, opening 2/11. It's a curious collection! http://ow.ly/15uSt",0.2,0.475252507890751
"Neutral","@iJuslisen pretty much my g..i need a banger..get it to the bloggers..lets do it.",0.2,0.493914580573631
"Neutral","Photo: Chace Crawford?. Oh man I can look at pictures of him all day BUT i have homework to get back to so... http://tumblr.com/xbf6aoc1l",0,0
"Neutral","Commission Ritual.: P.S. I want to make this perfectly clear: Commission Ritual will get your sites multiple fi.. http://bit.ly/7dqvqj",0.4,0.835975867759116
"Neutral","On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5",-0.2,-0.361157559257308
"Neutral","Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...",0.2,-0.0258112866459834
"Neutral","Twitter Background - Reviews, News, and How To Geeks: This is my Twitter background for my Personal Twitter. http://bit.ly/bdbijW",0.1,-0.102733099387503
"Neutral","Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8",0.1,0.0381855652993389
"Neutral","RT @MidieastBozz: RT @Frayz: Check out - www.MidieastMovement.com That's a #BrandName http://myloc.me/3Dy7o",-0.1,0
"Neutral","Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH http://tumblr.com/x7269s2mn",0.1,0
"Neutral","Winter Olympics: An Add-On to the Modern Games http://bit.ly/9BP1lc",0.7,0
"Neutral","Heres a new idea,how about i get you a spoon so you can read my ass.",0,-0.54232614454664
"Neutral","Equipped a Gamma Mittens. #epicpetwars http://www.epicpetwars.com",0.2,0
"Neutral","RT @FriendsTVFan: #RetweetTHisIf you want #FriendsTheMovie via @Lisa_Kudrow",0,0.0772283284276542
"Neutral","@alexabimanyu as for now nope. Use XL for cheaper rate of prepaid and postpaid roaming",0,0
"Neutral","It's A Bird! It's A Plane! It's Chris Nolan! He'll Mentor Superman 3.0 And Prep 3rd http://bit.ly/dnSFmU",0.1,0
"Negative","Andy is rambling on C&C this morning - shutup and get on with it man",-0.4,0
"Negative","@tigerlilybubu lol, where are you? I once forgot the car completely and left home without it.",0,0.599373159673106
"Neutral","Grow on Twitter with Tweet Automator http://bit.ly/dwxFHu",0.1,0
"Neutral","@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun's favor, they remain a minority",-0.5,0.401923825269382
"Neutral","count the sheeps and you can sleep :) RT @RaissaArif it's time to sleep actually but i can't sleep..hmmm i'll try",0.2,0.25
"Neutral","The Newest Member of _________________! #yehbuddy",0.2,0
"Neutral","@SeaNanners Hey Adam, JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2, maybe ask for his help?",0.5,0.68082252702501
"Neutral","Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:",0.2,-0.295958174200194
"Neutral","oh my goodness I'm emo",0.7,0.458831467741123
"Neutral","@Din_Jee wait wait wait...im confused...are you there?",-0.4,0
"Neutral","RT @Arranwhisky: New #Arran #Malt #Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates",0.1,0.510607056638284
"Negative","emm, my lip is starting to hurt :/",-0.2,-0.700349291735761
"Negative","Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work",-0.1,-0.648556646884329
"Negative","#TED travel off to rocky start thanks to wayward wallet. JUST made my flight, but horridly tense.",0,-0.642808629364393
"Positive","RT 50+ Awesome Twitter Tips to become a Pro http://ow.ly/14LjW via @virtuosoblogger",0.9,0.624893326938946
"Positive","@JBieberboyyy i was thinking that i wanna make a Cake party in my house :O! lol",0.4,0.784034123879596
"Positive","http://www.youtube.com/watch?v=0TpGvMh6Uow&feature=player_embedded Check it out! In the middle of London! SO COOL!",0.3,0.637186437973396
"Neutral","This cares about Internet marketing resources. kitti joined this as a marketer. http://ihid.us?i=noj",0.1,0.458831467741123
"Positive","Mountains, trees, and beautiful cotton-ish blue sky! I will fly! :)",0.5,0.816832788861777
"Positive","@justinbieber follow me? please...(: your great and it would make my day. btw, i wanna shampoo your hair ;D lmao. 3",0.2,0.796389070934751
"Neutral","RT @KLM: RT @tiesto Last chance to meet @tiesto in Bangkok w/ @KLM. Tell your friends & increase the chance of winning together- http://tiny.cc/Ei5hB",0.2,0.895664663740519
"Neutral","Lets trade McNabb to the Broncos and get Brandon Marshall. That team has potential...not w/ Kyle Orton at QB tho.",0.1,0
"Neutral","RT @chriscolfer: I hereby name all the Kurt fans as the ""Kurtsies.""",0,0
"Neutral","I thought about saying ""underwhelming"" instead of disappointing but one must maintain standards, even in the face of snowmageddon",0.5,-0.273212885294474
"Positive","@DarrylTalley @J9Talley hi there! Nice to see you back!",0.4,0.524197201022151
"Neutral","Topic ""????:iRedAdmin-Pro-1.1.0"" in forum ????? by ZhangHuangbin. http://to.ly/16Uv #iredmail",0,0
