English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Turkmen Word
aback	0	0	0	0	0	0	0	0	0	0	geň galmak
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	terk et
abandoned	1	0	0	1	0	1	0	1	0	0	taşlandy
abandonment	1	0	0	1	0	1	0	1	1	0	terk etmek
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	azaltmak
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	gysgaltmak
abbreviation	0	0	0	0	0	0	0	0	0	0	gysgaltma
abdomen	0	0	0	0	0	0	0	0	0	0	garyn
abdominal	0	0	0	0	0	0	0	0	0	0	garyn
abduction	0	0	0	1	0	1	0	1	1	0	alyp gaçmak
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberasiýa
abeyance	0	0	0	0	0	0	0	0	0	0	boýun egmek
abhor	1	0	1	1	0	1	0	0	0	0	ýigrenji
abhorrent	1	0	1	1	0	1	0	0	0	0	ýigrenji
abide	0	0	0	0	0	0	0	0	0	0	berjaý et
ability	0	0	0	0	0	0	1	0	0	0	ukyby
abject	0	0	1	0	0	1	0	0	0	0	kemsidiji
ablation	0	0	0	0	0	0	0	0	0	0	ablasiýa
ablaze	0	0	0	0	0	0	0	0	0	0	ýangyn
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	bortda
abode	0	0	0	0	0	0	0	0	0	0	ýaşamak
abolish	1	0	0	0	0	1	0	0	0	0	ýatyr
abolition	0	0	0	0	0	1	0	0	0	0	ýatyrmak
abominable	0	0	1	1	0	1	0	0	0	0	ýigrenji
abomination	1	0	1	1	0	1	0	0	0	0	ýigrenji
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
abort	0	0	0	0	0	1	0	0	0	0	ýatyrmak
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	abort
abound	0	0	0	0	0	0	0	0	0	0	köp
abovementioned	0	0	0	0	0	0	1	0	0	0	ýokarda aýdylşy ýaly
abrasion	0	0	0	0	0	1	0	0	0	0	aşgazan
abroad	0	0	0	0	0	0	0	0	0	0	daşary ýurtlarda
abrogate	0	0	0	0	0	1	0	0	0	0	ýatyr
