English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Uyghur Word
aback	0	0	0	0	0	0	0	0	0	0	abck
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ۋاز كېچىش
abandoned	1	0	0	1	0	1	0	1	0	0	تاشلىۋېتىلدى
abandonment	1	0	0	1	0	1	0	1	1	0	ۋاز كېچىش
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	abatement
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	قىسقارتىش
abbreviation	0	0	0	0	0	0	0	0	0	0	قىسقارتىش
abdomen	0	0	0	0	0	0	0	0	0	0	قورساق
abdominal	0	0	0	0	0	0	0	0	0	0	قورساق
abduction	0	0	0	1	0	1	0	1	1	0	تۇتقۇن قىلىش
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	يىرگىنچلىك
abhorrent	1	0	1	1	0	1	0	0	0	0	يىرگىنچلىك
abide	0	0	0	0	0	0	0	0	0	0	ئەمەل قىلىڭلار
ability	0	0	0	0	0	0	1	0	0	0	ئىقتىدارى
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	تاھارەت
ablaze	0	0	0	0	0	0	0	0	0	0	ئوت
abnormal	0	0	1	0	0	1	0	0	0	0	بىنورمال
aboard	0	0	0	0	0	0	0	0	0	0	پاراخوتتا
abode	0	0	0	0	0	0	0	0	0	0	تۇرالغۇ
abolish	1	0	0	0	0	1	0	0	0	0	ئەمەلدىن قالدۇرۇش
abolition	0	0	0	0	0	1	0	0	0	0	ئەمەلدىن قالدۇرۇش
abominable	0	0	1	1	0	1	0	0	0	0	يىرگىنچلىك
abomination	1	0	1	1	0	1	0	0	0	0	يىرگىنچلىك
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	ئەمەلدىن قالدۇرۇش
abortion	0	0	1	1	0	1	0	1	0	0	بالا چۈشۈرۈش
abortive	0	0	0	0	0	1	0	1	0	0	بالا چۈشۈرۈش
abound	0	0	0	0	0	0	0	0	0	0	كۆپ
abovementioned	0	0	0	0	0	0	1	0	0	0	يۇقىرىدا تىلغا ئېلىنغان
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	چەتئەللەردە
abrogate	0	0	0	0	0	1	0	0	0	0	ئەمەلدىن قالدۇرۇش
abrupt	0	0	0	0	0	0	0	0	1	0	تۇيۇقسىز
abruptly	0	0	0	0	0	0	0	0	0	0	تۇيۇقسىز
abscess	0	0	0	0	0	1	0	1	0	0	يىرىڭلىق ئىششىق
absence	0	0	0	1	0	1	0	1	0	0	يوق
absent	0	0	0	0	0	1	0	1	0	0	يوق
absentee	0	0	0	0	0	1	0	1	0	0	يوق
absenteeism	0	0	0	0	0	1	0	0	0	0	يوق
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	مۇتلەق
absolution	0	0	0	0	1	0	1	0	0	1	ئەمەلدىن قالدۇرۇش
absorbed	0	0	0	0	0	0	1	0	0	0	سۈمۈرۈلگەن
absorbent	0	0	0	0	0	0	0	0	0	0	سۈمۈرگۈچ
absorbing	0	0	0	0	0	0	0	0	0	0	سۈمۈرگۈچ
absorption	0	0	0	0	0	0	0	0	0	0	سۈمۈرۈلۈش
abstain	0	0	0	0	0	0	0	0	0	0	پەرھىز تۇتۇڭ
abstention	0	0	0	0	0	0	0	0	0	0	پەرھىز
abstinence	0	0	0	0	0	0	0	0	0	0	پەرھىز
abstract	0	0	0	0	0	0	0	0	0	0	ئابستراكت
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	بىمەنە
absurdity	0	0	0	0	0	1	0	0	0	0	بىمەنە
abundance	0	1	1	0	1	1	1	0	0	1	مول
abundant	0	0	0	0	1	0	1	0	0	0	مول
abuse	1	0	1	1	0	1	0	1	0	0	خورلاش
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	ئاكادېمىك
academy	0	0	0	0	0	0	1	0	0	0	academy
accede	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلىڭ
accelerate	0	1	0	0	0	0	0	0	0	0	تېزلىتىڭ
