English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sinhala Word
aback	0	0	0	0	0	0	0	0	0	0	කම්මැලියි
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	අත්හරින්න
abandoned	1	0	0	1	0	1	0	1	0	0	අතහැර දමා ඇත
abandonment	1	0	0	1	0	1	0	1	1	0	අත්හැරීම
abate	0	0	0	0	0	0	0	0	0	0	අඩු කරන්න
abatement	0	0	0	0	0	0	0	0	0	0	අඩු කිරීම
abba	0	0	0	0	0	0	1	0	0	0	අබ්බා
abbot	0	0	0	0	0	0	0	0	0	1	ඇබට්
abbreviate	0	0	0	0	0	0	0	0	0	0	සංක්ෂිප්ත කරන්න
abbreviation	0	0	0	0	0	0	0	0	0	0	කෙටි යෙදුම
abdomen	0	0	0	0	0	0	0	0	0	0	උදරය
abdominal	0	0	0	0	0	0	0	0	0	0	උදරය
abduction	0	0	0	1	0	1	0	1	1	0	පැහැර ගැනීම
aberrant	0	0	0	0	0	1	0	0	0	0	අපගමනය
aberration	0	0	1	0	0	1	0	0	0	0	අපගමනය
abeyance	0	0	0	0	0	0	0	0	0	0	අත්හැරීම
abhor	1	0	1	1	0	1	0	0	0	0	පිළිකුල් කරනවා
abhorrent	1	0	1	1	0	1	0	0	0	0	පිළිකුල් සහගතය
abide	0	0	0	0	0	0	0	0	0	0	රැඳී සිටින්න
ability	0	0	0	0	0	0	1	0	0	0	හැකියාව
abject	0	0	1	0	0	1	0	0	0	0	පහත්
ablation	0	0	0	0	0	0	0	0	0	0	ඉවත් කිරීම
ablaze	0	0	0	0	0	0	0	0	0	0	ඇවිලෙනවා
abnormal	0	0	1	0	0	1	0	0	0	0	අසාමාන්ය
aboard	0	0	0	0	0	0	0	0	0	0	නැවට
abode	0	0	0	0	0	0	0	0	0	0	පදිංචිය
abolish	1	0	0	0	0	1	0	0	0	0	ඉවත් කරනවා
abolition	0	0	0	0	0	1	0	0	0	0	අහෝසි කිරීම
abominable	0	0	1	1	0	1	0	0	0	0	පිළිකුල් සහගතය
abomination	1	0	1	1	0	1	0	0	0	0	පිළිකුල් සහගතය
aboriginal	0	0	0	0	0	0	0	0	0	0	ආදිවාසී
abort	0	0	0	0	0	1	0	0	0	0	ගබ්සා කරන්න
abortion	0	0	1	1	0	1	0	1	0	0	ගබ්සාව
abortive	0	0	0	0	0	1	0	1	0	0	ගබ්සා
abound	0	0	0	0	0	0	0	0	0	0	බහුලයි
abovementioned	0	0	0	0	0	0	1	0	0	0	ඉහත සඳහන් කර ඇත
abrasion	0	0	0	0	0	1	0	0	0	0	උල්ෙල්ඛ
abroad	0	0	0	0	0	0	0	0	0	0	පිටරට
abrogate	0	0	0	0	0	1	0	0	0	0	අවලංගු කරනවා
abrupt	0	0	0	0	0	0	0	0	1	0	හදිසියේ
abruptly	0	0	0	0	0	0	0	0	0	0	හදිසියේ
abscess	0	0	0	0	0	1	0	1	0	0	විවරයක්
absence	0	0	0	1	0	1	0	1	0	0	නොපැමිණීම
absent	0	0	0	0	0	1	0	1	0	0	නොපැමිණීම
absentee	0	0	0	0	0	1	0	1	0	0	නොපැමිණීම
absenteeism	0	0	0	0	0	1	0	0	0	0	නොපැමිණීම
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	නිරපේක්ෂ
absolution	0	0	0	0	1	0	1	0	0	1	නිදහස් වීම
absorbed	0	0	0	0	0	0	1	0	0	0	අවශෝෂණය කර ඇත
absorbent	0	0	0	0	0	0	0	0	0	0	අවශෝෂක
absorbing	0	0	0	0	0	0	0	0	0	0	අවශෝෂණය
absorption	0	0	0	0	0	0	0	0	0	0	අවශෝෂණය
abstain	0	0	0	0	0	0	0	0	0	0	වැළකී සිටින්න
abstention	0	0	0	0	0	0	0	0	0	0	වැළකී සිටීම
abstinence	0	0	0	0	0	0	0	0	0	0	වැළකී සිටීම
abstract	0	0	0	0	0	0	0	0	0	0	වියුක්ත
abstraction	0	0	0	0	0	0	0	0	0	0	වියුක්ත කිරීම
absurd	0	0	0	0	0	1	0	0	0	0	විකාර
absurdity	0	0	0	0	0	1	0	0	0	0	විකාරයක්
abundance	0	1	1	0	1	1	1	0	0	1	බහුලත්වය
abundant	0	0	0	0	1	0	1	0	0	0	බහුල
abuse	1	0	1	1	0	1	0	1	0	0	අපයෙදුම්
abutment	0	0	0	0	0	0	0	0	0	0	යට කිරීම
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	අගාධය
