English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Urdu Word
aback	0	0	0	0	0	0	0	0	0	0	حیران
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ترک کرنا
abandoned	1	0	0	1	0	1	0	1	0	0	چھوڑ دیا
abandonment	1	0	0	1	0	1	0	1	1	0	دستبرداری
abate	0	0	0	0	0	0	0	0	0	0	کم کرنا
abatement	0	0	0	0	0	0	0	0	0	0	تخفیف
abba	0	0	0	0	0	0	1	0	0	0	ابا
abbot	0	0	0	0	0	0	0	0	0	1	مٹھائی
abbreviate	0	0	0	0	0	0	0	0	0	0	مختصر
abbreviation	0	0	0	0	0	0	0	0	0	0	مخفف
abdomen	0	0	0	0	0	0	0	0	0	0	پیٹ
abdominal	0	0	0	0	0	0	0	0	0	0	پیٹ
abduction	0	0	0	1	0	1	0	1	1	0	اغوا
aberrant	0	0	0	0	0	1	0	0	0	0	ناگوار
aberration	0	0	1	0	0	1	0	0	0	0	خرابی
abeyance	0	0	0	0	0	0	0	0	0	0	تعطل
abhor	1	0	1	1	0	1	0	0	0	0	نفرت
abhorrent	1	0	1	1	0	1	0	0	0	0	مکروہ
abide	0	0	0	0	0	0	0	0	0	0	رہنا
ability	0	0	0	0	0	0	1	0	0	0	صلاحیت
abject	0	0	1	0	0	1	0	0	0	0	حقیر
ablation	0	0	0	0	0	0	0	0	0	0	خاتمہ
ablaze	0	0	0	0	0	0	0	0	0	0	آگ لگانا
abnormal	0	0	1	0	0	1	0	0	0	0	غیر معمولی
aboard	0	0	0	0	0	0	0	0	0	0	جہاز میں
abode	0	0	0	0	0	0	0	0	0	0	رہائش
abolish	1	0	0	0	0	1	0	0	0	0	خاتمہ کرنا
abolition	0	0	0	0	0	1	0	0	0	0	خاتمہ
abominable	0	0	1	1	0	1	0	0	0	0	مکروہ
abomination	1	0	1	1	0	1	0	0	0	0	مکروہ
aboriginal	0	0	0	0	0	0	0	0	0	0	مقامی
abort	0	0	0	0	0	1	0	0	0	0	اسقاط حمل
abortion	0	0	1	1	0	1	0	1	0	0	اسقاط حمل
abortive	0	0	0	0	0	1	0	1	0	0	اسقاط حمل
abound	0	0	0	0	0	0	0	0	0	0	بہتات ہونا
abovementioned	0	0	0	0	0	0	1	0	0	0	مذکورہ بالا
abrasion	0	0	0	0	0	1	0	0	0	0	گھرشن
abroad	0	0	0	0	0	0	0	0	0	0	بیرون ملک
abrogate	0	0	0	0	0	1	0	0	0	0	منسوخ کرنا
abrupt	0	0	0	0	0	0	0	0	1	0	اچانک
abruptly	0	0	0	0	0	0	0	0	0	0	اچانک
abscess	0	0	0	0	0	1	0	1	0	0	پھوڑا
absence	0	0	0	1	0	1	0	1	0	0	عدم موجودگی
absent	0	0	0	0	0	1	0	1	0	0	غیر حاضر
absentee	0	0	0	0	0	1	0	1	0	0	غیر حاضری
absenteeism	0	0	0	0	0	1	0	0	0	0	غیر حاضری
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
