English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Polish Word
aback	0	0	0	0	0	0	0	0	0	0	wstecz
abacus	0	0	0	0	0	0	0	0	0	1	liczydło
abandon	0	0	0	1	0	1	0	1	0	0	opuścić
abandoned	1	0	0	1	0	1	0	1	0	0	opuszczony
abandonment	1	0	0	1	0	1	0	1	1	0	porzucenie
abate	0	0	0	0	0	0	0	0	0	0	zmniejszać
abatement	0	0	0	0	0	0	0	0	0	0	obniżka
abba	0	0	0	0	0	0	1	0	0	0	Abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	skracać
abbreviation	0	0	0	0	0	0	0	0	0	0	skrót
abdomen	0	0	0	0	0	0	0	0	0	0	brzuch
abdominal	0	0	0	0	0	0	0	0	0	0	brzuszny
abduction	0	0	0	1	0	1	0	1	1	0	uprowadzenie
aberrant	0	0	0	0	0	1	0	0	0	0	anormalny
aberration	0	0	1	0	0	1	0	0	0	0	aberracja
abeyance	0	0	0	0	0	0	0	0	0	0	stan zawieszenia
abhor	1	0	1	1	0	1	0	0	0	0	czuć wstręt
abhorrent	1	0	1	1	0	1	0	0	0	0	odrażający
abide	0	0	0	0	0	0	0	0	0	0	przestrzegać
ability	0	0	0	0	0	0	1	0	0	0	umiejętność
abject	0	0	1	0	0	1	0	0	0	0	nikczemny
ablation	0	0	0	0	0	0	0	0	0	0	ablacja
ablaze	0	0	0	0	0	0	0	0	0	0	w ogniu
abnormal	0	0	1	0	0	1	0	0	0	0	nieprawidłowy
aboard	0	0	0	0	0	0	0	0	0	0	na
abode	0	0	0	0	0	0	0	0	0	0	siedziba
abolish	1	0	0	0	0	1	0	0	0	0	znieść
abolition	0	0	0	0	0	1	0	0	0	0	zniesienie
abominable	0	0	1	1	0	1	0	0	0	0	wstrętny
abomination	1	0	1	1	0	1	0	0	0	0	wstręt
aboriginal	0	0	0	0	0	0	0	0	0	0	rodowity
abort	0	0	0	0	0	1	0	0	0	0	anulować
abortion	0	0	1	1	0	1	0	1	0	0	poronienie
abortive	0	0	0	0	0	1	0	1	0	0	nieudany
abound	0	0	0	0	0	0	0	0	0	0	obfitować
abovementioned	0	0	0	0	0	0	1	0	0	0	wyżej wymienione
abrasion	0	0	0	0	0	1	0	0	0	0	przetarcie
abroad	0	0	0	0	0	0	0	0	0	0	za granicą
abrogate	0	0	0	0	0	1	0	0	0	0	unieważnić
abrupt	0	0	0	0	0	0	0	0	1	0	nagły
abruptly	0	0	0	0	0	0	0	0	0	0	nagle
abscess	0	0	0	0	0	1	0	1	0	0	ropień
absence	0	0	0	1	0	1	0	1	0	0	brak
absent	0	0	0	0	0	1	0	1	0	0	nieobecny
absentee	0	0	0	0	0	1	0	1	0	0	bumelant
absenteeism	0	0	0	0	0	1	0	0	0	0	absencja
absinthe	0	0	0	0	0	0	0	0	0	0	Absynt
absolute	0	0	0	0	0	0	1	0	0	0	absolutny
absolution	0	0	0	0	1	0	1	0	0	1	rozgrzeszenie
absorbed	0	0	0	0	0	0	1	0	0	0	zaabsorbowany
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	absorbujący
absorption	0	0	0	0	0	0	0	0	0	0	wchłanianie
abstain	0	0	0	0	0	0	0	0	0	0	wstrzymać się
abstention	0	0	0	0	0	0	0	0	0	0	wstrzymanie się od głosu
abstinence	0	0	0	0	0	0	0	0	0	0	abstynencja
abstract	0	0	0	0	0	0	0	0	0	0	abstrakcyjny
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakcja
absurd	0	0	0	0	0	1	0	0	0	0	absurdalny
absurdity	0	0	0	0	0	1	0	0	0	0	absurdalność
abundance	0	1	1	0	1	1	1	0	0	1	obfitość
abundant	0	0	0	0	1	0	1	0	0	0	obfity
abuse	1	0	1	1	0	1	0	1	0	0	nadużywać
abutment	0	0	0	0	0	0	0	0	0	0	przyczółek
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bezdenny
abyss	0	0	0	1	0	1	0	1	0	0	przepaść
academic	0	0	0	0	0	0	1	0	0	1	akademicki
academy	0	0	0	0	0	0	1	0	0	0	akademia
accede	0	0	0	0	0	0	0	0	0	0	przystąpić
accelerate	0	1	0	0	0	0	0	0	0	0	przyśpieszyć
acceleration	0	0	0	0	0	0	0	0	0	0	przyśpieszenie
accent	0	0	0	0	0	0	0	0	0	0	akcent
accentuate	0	0	0	0	0	0	0	0	0	0	podkreślać
accept	0	0	0	0	0	0	0	0	0	0	zaakceptować
acceptable	0	0	0	0	0	0	1	0	0	0	do przyjęcia
acceptance	0	0	0	0	0	0	1	0	0	0	przyjęcie
access	0	0	0	0	0	0	0	0	0	0	dostęp
accessible	0	0	0	0	0	0	1	0	0	0	dostępny
accession	0	0	0	0	0	0	0	0	0	0	przystąpienie
accessory	0	0	0	0	0	0	0	0	0	0	akcesorium
accident	0	0	0	1	0	1	0	1	1	0	wypadek
accidental	0	0	0	1	0	1	0	0	1	0	przypadkowy
accidentally	0	0	0	0	0	0	0	0	1	0	przypadkowo
accolade	0	1	0	0	1	0	1	0	1	1	uznanie
accommodate	0	0	0	0	0	0	0	0	0	0	pomieścić
accommodation	0	0	0	0	0	0	1	0	0	0	zakwaterowanie
accompaniment	0	1	0	0	1	0	1	0	0	1	akompaniament
accompany	0	0	0	0	0	0	0	0	0	0	towarzyszyć
accompanying	0	0	0	0	0	0	0	0	0	0	towarzyszący
accomplice	0	0	0	0	0	0	0	0	0	0	wspólnik
accomplish	0	0	0	0	1	0	1	0	0	0	ukończyć
accomplished	0	0	0	0	1	0	1	0	0	0	znakomity
accomplishment	0	0	0	0	0	0	1	0	0	0	osiągnięcie
accord	0	0	0	0	0	0	1	0	0	1	porozumienie
accordance	0	0	0	0	0	0	0	0	0	0	zgodność
accordion	0	0	0	0	0	0	0	0	0	0	akordeon
account	0	0	0	0	0	0	0	0	0	1	rachunek
accountability	0	0	0	0	0	0	1	0	0	1	odpowiedzialność
accountable	0	0	0	0	0	0	1	0	0	1	odpowiedzialny
accountant	0	0	0	0	0	0	0	0	0	1	księgowa
accounting	0	0	0	0	0	0	0	0	0	0	księgowość
accounts	0	0	0	0	0	0	0	0	0	1	rachunki
accredited	0	0	0	0	0	0	1	0	0	1	akredytowany
accretion	0	0	0	0	0	0	0	0	0	0	przyrost
accrue	0	0	0	0	0	0	0	0	0	0	płynąć
accueil	0	0	0	0	0	0	1	0	0	0	liczyć
accumulate	0	0	0	0	0	0	0	0	0	0	gromadzić
accumulation	0	0	0	0	0	0	0	0	0	0	akumulacja
accuracy	0	0	0	0	0	0	0	0	0	0	precyzja
accurate	0	0	0	0	0	0	1	0	0	1	dokładny
accursed	1	0	0	1	0	1	0	1	0	0	przeklęty
accusation	1	0	1	0	0	1	0	0	0	0	oskarżenie
accusative	0	0	0	0	0	1	0	0	0	0	biernik
accused	1	0	0	1	0	1	0	0	0	0	oskarżony
accuser	1	0	0	1	0	1	0	0	0	0	oskarżyciel
accusing	1	0	0	1	0	1	0	0	0	0	oskarżać
accustomed	0	0	0	0	0	0	0	0	0	0	przyzwyczajony
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	octowy
ache	0	0	0	0	0	1	0	1	0	0	boleć
achieve	0	0	0	0	1	0	1	0	0	1	osiągnąć
achievement	0	1	0	0	1	0	1	0	0	1	osiągnięcie
aching	0	0	0	0	0	1	0	1	0	0	zbolały
acid	0	0	0	0	0	1	0	0	0	0	kwas
acidity	0	0	0	0	0	0	0	0	0	0	kwasowość
acknowledge	0	0	0	0	0	0	0	0	0	0	uznawać
acknowledged	0	0	0	0	0	0	0	0	0	0	uznany
acknowledgment	0	0	0	0	0	0	1	0	0	0	potwierdzenie
acme	0	0	0	0	0	0	0	0	0	0	kulminacja
acoustic	0	0	0	0	0	0	0	0	0	0	akustyczny
acoustics	0	0	0	0	0	0	0	0	0	0	akustyka
acquaint	0	0	0	0	0	0	0	0	0	0	zapoznać
acquaintance	0	0	0	0	0	0	0	0	0	0	znajomy
acquainted	0	0	0	0	0	0	0	0	0	0	obeznany
acquiescence	0	0	0	0	0	0	0	0	0	0	przyzwolenie
acquire	0	0	0	0	0	0	1	0	0	0	nabywać
acquiring	0	1	0	0	0	0	1	0	0	0	nabywanie
acquisition	0	0	0	0	0	0	0	0	0	0	nabytek
acquisitions	0	0	0	0	0	0	0	0	0	0	przejęcia
acreage	0	0	0	0	0	0	0	0	0	0	areał
acres	0	0	0	0	0	0	0	0	0	0	włości
acrobat	0	0	0	1	1	0	1	0	0	1	akrobata
act	0	0	0	0	0	0	0	0	0	0	akt
acting	0	0	0	0	0	0	0	0	0	0	gra aktorska
action	0	0	0	0	0	0	1	0	0	0	akcja
actionable	1	0	1	0	0	1	0	0	0	0	zaskarżalny
active	0	0	0	0	0	0	0	0	0	0	aktywny
activity	0	0	0	0	0	0	0	0	0	0	działalność
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	rzeczywisty
actuality	0	0	0	0	0	0	0	0	0	0	rzeczywistość
actuary	0	0	0	0	0	0	0	0	0	0	specjalista od ubezpieczeń
acuity	0	0	0	0	0	0	1	0	0	0	ostrość
acumen	0	0	0	0	0	0	1	0	0	0	bystrość
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	przenikliwie
adage	0	0	0	0	0	0	0	0	0	0	powiedzenie
adamant	0	0	0	0	0	0	0	0	0	0	nieugięty
adapt	0	0	0	0	0	0	1	0	0	0	przystosować się
adaptable	0	0	0	0	0	0	1	0	0	0	dający się przystosować
add	0	0	0	0	0	0	0	0	0	0	Dodaj
added	0	0	0	0	0	0	0	0	0	0	dodany
addendum	0	0	0	0	0	0	0	0	0	0	uzupełnienie
adder	1	0	1	1	0	1	0	1	0	0	sumator
addiction	0	0	0	0	0	1	0	0	0	0	nałóg
addition	0	0	0	0	0	0	0	0	0	0	dodatek
additional	0	0	0	0	0	0	0	0	0	0	dodatkowy
additive	0	0	0	0	0	0	0	0	0	0	przyłączeniowy
address	0	0	0	0	0	0	0	0	0	0	adres zamieszkania
addressee	0	0	0	0	0	0	0	0	0	0	adresat
addresses	0	1	0	0	0	0	1	0	0	0	adresy
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	adekwatność
adequate	0	0	0	0	0	0	0	0	0	0	odpowiedni
adhere	0	0	0	0	0	0	0	0	0	0	przylegać
adherence	0	0	0	0	0	0	0	0	0	0	przyczepność
adherent	0	0	0	0	0	0	0	0	0	0	przylegający
adhering	0	0	0	0	0	0	0	0	0	1	przylegający
adhesion	0	0	0	0	0	0	0	0	0	0	przyczepność
adhesive	0	0	0	0	0	0	0	0	0	0	spoiwo
adieu	0	0	0	0	0	0	0	0	0	0	pożegnanie
adipose	0	0	0	0	0	1	0	0	0	0	tłuszczowy
adjacency	0	0	0	0	0	0	0	0	0	0	przyleganie
adjacent	0	0	0	0	0	0	0	0	0	0	przylegający
adjective	0	0	0	0	0	0	0	0	0	0	przymiotnik
adjoining	0	0	0	0	0	0	0	0	0	0	przylegający
adjourn	0	0	0	0	0	0	0	0	0	0	zawiesić
adjournment	0	0	0	0	0	0	0	0	0	0	odroczenie
adjudicate	0	0	0	1	0	1	0	0	0	0	orzec
adjudication	0	0	0	0	0	0	0	0	0	0	wyrok
adjunct	0	0	0	0	0	0	1	0	0	0	dodatek
adjust	0	0	0	0	0	0	0	0	0	0	dostosować
adjustment	0	0	0	0	0	0	0	0	0	0	dostosowanie
adjuvant	0	0	0	0	0	0	0	0	0	0	adiuwant
administer	0	0	0	0	0	0	0	0	0	0	administrować
administration	0	0	0	0	0	0	0	0	0	0	administracja
administrative	0	0	0	0	0	0	0	0	0	1	Administracyjny
admirable	0	0	0	0	1	0	1	0	0	1	zachwycający
admiral	0	0	0	0	0	0	1	0	0	1	admirał
admiralty	0	0	0	0	0	0	0	0	0	0	admiralicja
admiration	0	0	0	0	1	0	1	0	0	1	podziw
admire	0	0	0	0	0	0	1	0	0	1	podziwiać
admirer	0	0	0	0	0	0	1	0	0	0	wielbiciel
admissibility	0	0	0	0	0	0	0	0	0	0	dopuszczalność
admissible	0	0	0	0	0	0	1	0	0	1	dopuszczalny
admission	0	0	0	0	0	0	0	0	0	0	wstęp
admit	0	0	0	0	0	0	0	0	0	0	przyznawać
admittance	0	0	0	0	0	0	0	0	0	0	wstęp
admitted	0	0	0	0	0	0	0	0	0	0	przyznał
admitting	0	0	0	0	0	0	0	0	0	0	przyznać się
admixture	0	0	0	0	0	0	0	0	0	0	domieszka
admonition	0	0	0	1	0	1	0	0	0	0	napomnienie
ado	0	0	0	0	0	0	0	0	0	0	korowody
adobe	0	0	0	0	0	0	0	0	0	0	cegła suszona na słońcu
adolescence	0	0	0	0	0	0	0	0	0	0	adolescencja
adolescent	0	0	0	0	0	0	0	0	0	0	dorastający
adopt	0	0	0	0	0	0	0	0	0	0	przyjąć
adoption	0	0	0	0	0	0	0	0	0	0	przyjęcie
adorable	0	0	0	0	1	0	1	0	0	0	uroczy
adoration	0	0	0	0	1	0	1	0	0	1	adoracja
adore	0	1	0	0	1	0	1	0	0	1	adorować
adorn	0	0	0	0	0	0	0	0	0	0	zdobić
adornment	0	0	0	0	0	0	0	0	0	0	ozdoba
adrift	0	1	0	1	0	1	0	1	0	0	dryfujący
adult	0	0	0	0	0	0	0	0	0	0	dorosły
adulterated	0	0	0	0	0	1	0	0	0	0	zafałszowane
adultery	0	0	1	0	0	1	0	1	0	0	cudzołóstwo
advance	0	1	0	1	1	0	1	0	1	0	osiągnięcie
advanced	0	0	0	0	0	0	1	0	0	0	zaawansowane
advancement	0	0	0	0	0	0	1	0	0	0	postęp
advancing	0	0	0	0	0	0	0	0	0	0	posuwać się naprzód
advantage	0	0	0	0	0	0	1	0	0	0	korzyść
advantageous	0	0	0	0	0	0	1	0	0	0	korzystny
advent	0	1	0	0	1	0	1	0	0	1	Adwent
adventure	0	1	0	0	0	0	1	0	0	0	przygoda
adventurer	0	0	0	0	0	0	0	0	0	0	poszukiwacz przygód
adventurous	0	0	0	0	0	0	1	0	0	0	ryzykowny
adversary	1	0	0	0	0	1	0	0	0	0	przeciwnik
adverse	1	0	1	1	0	1	0	1	0	0	niekorzystny
adversity	1	0	0	1	0	1	0	1	0	0	nieszczęście
advertise	0	0	0	0	0	0	0	0	0	0	reklamować
advertisement	0	0	0	0	0	0	0	0	0	0	Reklama
advice	0	0	0	0	0	0	0	0	0	1	Rada
