English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Amharic Word
aback	0	0	0	0	0	0	0	0	0	0	መገረም
abacus	0	0	0	0	0	0	0	0	0	1	አባከስ
abandon	0	0	0	1	0	1	0	1	0	0	መተው
abandoned	1	0	0	1	0	1	0	1	0	0	የተተወ
abandonment	1	0	0	1	0	1	0	1	1	0	መተው
abate	0	0	0	0	0	0	0	0	0	0	ቀንስ
abatement	0	0	0	0	0	0	0	0	0	0	መቀነስ
abba	0	0	0	0	0	0	1	0	0	0	አባ
abbot	0	0	0	0	0	0	0	0	0	1	አባቴ
abbreviate	0	0	0	0	0	0	0	0	0	0	ምህጻረ ቃል
abbreviation	0	0	0	0	0	0	0	0	0	0	ምህጻረ ቃል
abdomen	0	0	0	0	0	0	0	0	0	0	ሆዱ
abdominal	0	0	0	0	0	0	0	0	0	0	ሆድ
abduction	0	0	0	1	0	1	0	1	1	0	ጠለፋ
aberrant	0	0	0	0	0	1	0	0	0	0	የተዛባ
aberration	0	0	1	0	0	1	0	0	0	0	ማስፈራራት
abeyance	0	0	0	0	0	0	0	0	0	0	መራቅ
abhor	1	0	1	1	0	1	0	0	0	0	ተጸየፉ
abhorrent	1	0	1	1	0	1	0	0	0	0	አስጸያፊ
abide	0	0	0	0	0	0	0	0	0	0	ተገዛ
ability	0	0	0	0	0	0	1	0	0	0	ችሎታ
abject	0	0	1	0	0	1	0	0	0	0	አስጸያፊ
ablation	0	0	0	0	0	0	0	0	0	0	ማጥፋት
ablaze	0	0	0	0	0	0	0	0	0	0	ማቃጠል
abnormal	0	0	1	0	0	1	0	0	0	0	ያልተለመደ
aboard	0	0	0	0	0	0	0	0	0	0	ተሳፍረው
abode	0	0	0	0	0	0	0	0	0	0	መኖሪያ
abolish	1	0	0	0	0	1	0	0	0	0	ማጥፋት
abolition	0	0	0	0	0	1	0	0	0	0	ማስወገድ
abominable	0	0	1	1	0	1	0	0	0	0	አስጸያፊ
abomination	1	0	1	1	0	1	0	0	0	0	አስጸያፊ
aboriginal	0	0	0	0	0	0	0	0	0	0	ተወላጆች
abort	0	0	0	0	0	1	0	0	0	0	ማስወረድ
abortion	0	0	1	1	0	1	0	1	0	0	ፅንስ ማስወረድ
abortive	0	0	0	0	0	1	0	1	0	0	ማስወረድ
abound	0	0	0	0	0	0	0	0	0	0	ይበዛል።
abovementioned	0	0	0	0	0	0	1	0	0	0	ከላይ የተጠቀሰው
abrasion	0	0	0	0	0	1	0	0	0	0	መጥላት
abroad	0	0	0	0	0	0	0	0	0	0	ውጭ አገር
abrogate	0	0	0	0	0	1	0	0	0	0	መሻር
abrupt	0	0	0	0	0	0	0	0	1	0	በድንገት
abruptly	0	0	0	0	0	0	0	0	0	0	በድንገት
abscess	0	0	0	0	0	1	0	1	0	0	ማበጥ
absence	0	0	0	1	0	1	0	1	0	0	አለመኖር
absent	0	0	0	0	0	1	0	1	0	0	የለም
absentee	0	0	0	0	0	1	0	1	0	0	የማይገኝ
absenteeism	0	0	0	0	0	1	0	0	0	0	መቅረት
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ፍጹም
absolution	0	0	0	0	1	0	1	0	0	1	መፍታት
absorbed	0	0	0	0	0	0	1	0	0	0	ተውጦ
absorbent	0	0	0	0	0	0	0	0	0	0	የሚስብ
absorbing	0	0	0	0	0	0	0	0	0	0	መምጠጥ
absorption	0	0	0	0	0	0	0	0	0	0	መምጠጥ
abstain	0	0	0	0	0	0	0	0	0	0	መታቀብ
abstention	0	0	0	0	0	0	0	0	0	0	መታቀብ
abstinence	0	0	0	0	0	0	0	0	0	0	መታቀብ
abstract	0	0	0	0	0	0	0	0	0	0	ረቂቅ
abstraction	0	0	0	0	0	0	0	0	0	0	ረቂቅ
absurd	0	0	0	0	0	1	0	0	0	0	የማይረባ
absurdity	0	0	0	0	0	1	0	0	0	0	ብልህነት
abundance	0	1	1	0	1	1	1	0	0	1	የተትረፈረፈ
abundant	0	0	0	0	1	0	1	0	0	0	የተትረፈረፈ
abuse	1	0	1	1	0	1	0	1	0	0	አላግባብ መጠቀም
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	አብይ
abysmal	0	0	0	0	0	1	0	1	0	0	አቢይ
abyss	0	0	0	1	0	1	0	1	0	0	ገደል
academic	0	0	0	0	0	0	1	0	0	1	የትምህርት
academy	0	0	0	0	0	0	1	0	0	0	አካዳሚ
accede	0	0	0	0	0	0	0	0	0	0	መቀበል
accelerate	0	1	0	0	0	0	0	0	0	0	ማፋጠን
acceleration	0	0	0	0	0	0	0	0	0	0	ማፋጠን
accent	0	0	0	0	0	0	0	0	0	0	ዘዬ
accentuate	0	0	0	0	0	0	0	0	0	0	አጽንዖት መስጠት
accept	0	0	0	0	0	0	0	0	0	0	ተቀበል
acceptable	0	0	0	0	0	0	1	0	0	0	ተቀባይነት ያለው
acceptance	0	0	0	0	0	0	1	0	0	0	መቀበል
access	0	0	0	0	0	0	0	0	0	0	መዳረሻ
accessible	0	0	0	0	0	0	1	0	0	0	ተደራሽ
accession	0	0	0	0	0	0	0	0	0	0	መቀላቀል
accessory	0	0	0	0	0	0	0	0	0	0	መለዋወጫ
accident	0	0	0	1	0	1	0	1	1	0	አደጋ
accidental	0	0	0	1	0	1	0	0	1	0	በአጋጣሚ
accidentally	0	0	0	0	0	0	0	0	1	0	በአጋጣሚ
accolade	0	1	0	0	1	0	1	0	1	1	ማመስገን
accommodate	0	0	0	0	0	0	0	0	0	0	ማስተናገድ
accommodation	0	0	0	0	0	0	1	0	0	0	ማረፊያ
accompaniment	0	1	0	0	1	0	1	0	0	1	አጃቢ
accompany	0	0	0	0	0	0	0	0	0	0	ማጀብ
accompanying	0	0	0	0	0	0	0	0	0	0	አብሮ የሚሄድ
accomplice	0	0	0	0	0	0	0	0	0	0	ተባባሪ
accomplish	0	0	0	0	1	0	1	0	0	0	ማከናወን
accomplished	0	0	0	0	1	0	1	0	0	0	ተፈፀመ
accomplishment	0	0	0	0	0	0	1	0	0	0	ስኬት
accord	0	0	0	0	0	0	1	0	0	1	ስምምነት
accordance	0	0	0	0	0	0	0	0	0	0	መሠረት
accordion	0	0	0	0	0	0	0	0	0	0	አኮርዲዮን
account	0	0	0	0	0	0	0	0	0	1	መለያ
accountability	0	0	0	0	0	0	1	0	0	1	ተጠያቂነት
accountable	0	0	0	0	0	0	1	0	0	1	ተጠያቂ
