English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Myanmar-Burmese Word
aback	0	0	0	0	0	0	0	0	0	0	အံသြ
abacus	0	0	0	0	0	0	0	0	0	1	ပေသီး
abandon	0	0	0	1	0	1	0	1	0	0	စွန့်လွှတ်
abandoned	1	0	0	1	0	1	0	1	0	0	စွန့်ပစ်ခဲ့သည်။
abandonment	1	0	0	1	0	1	0	1	1	0	စွန့်ပစ်ခြင်း။
abate	0	0	0	0	0	0	0	0	0	0	သက်သာတယ်။
abatement	0	0	0	0	0	0	0	0	0	0	သက်သာသွားသည်။
abba	0	0	0	0	0	0	1	0	0	0	အဗ္ဗ
abbot	0	0	0	0	0	0	0	0	0	1	ဆရာတော်
abbreviate	0	0	0	0	0	0	0	0	0	0	အတိုကောက်
abbreviation	0	0	0	0	0	0	0	0	0	0	အတိုကောက်
abdomen	0	0	0	0	0	0	0	0	0	0	ဝမ်းဗိုက်
abdominal	0	0	0	0	0	0	0	0	0	0	ဝမ်းဗိုက်
abduction	0	0	0	1	0	1	0	1	1	0	ပြန်ပေးဆွဲခြင်း
aberrant	0	0	0	0	0	1	0	0	0	0	မမှန်
aberration	0	0	1	0	0	1	0	0	0	0	ကွဲလွဲမှု
abeyance	0	0	0	0	0	0	0	0	0	0	မလိုက်နာခြင်း။
abhor	1	0	1	1	0	1	0	0	0	0	ရွံရှာသည်။
abhorrent	1	0	1	1	0	1	0	0	0	0	ရွံရှာဖွယ်
abide	0	0	0	0	0	0	0	0	0	0	နေပါ။
ability	0	0	0	0	0	0	1	0	0	0	စွမ်းရည်
abject	0	0	1	0	0	1	0	0	0	0	ရွံရှာဖွယ်
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	တောက်
abnormal	0	0	1	0	0	1	0	0	0	0	မူမမှန်
aboard	0	0	0	0	0	0	0	0	0	0	တစ်စီး
abode	0	0	0	0	0	0	0	0	0	0	နေထိုင်သည်။
abolish	1	0	0	0	0	1	0	0	0	0	လုပ်မယ်။
abolition	0	0	0	0	0	1	0	0	0	0	ဖျက်သိမ်းရေး
abominable	0	0	1	1	0	1	0	0	0	0	ရွံရှာဘွယ်သော
abomination	1	0	1	1	0	1	0	0	0	0	စက်ဆုပ်ရွံရှာခြင်း။
aboriginal	0	0	0	0	0	0	0	0	0	0	မူရင်းလူမျိုး
abort	0	0	0	0	0	1	0	0	0	0	သားလျှော
abortion	0	0	1	1	0	1	0	1	0	0	ကိုယ်ဝန်ဖျက်ချခြင်း။
abortive	0	0	0	0	0	1	0	1	0	0	မအောင်မြင်သော
abound	0	0	0	0	0	0	0	0	0	0	ပေါများ၏။
