English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Mongolian Word
aback	0	0	0	0	0	0	0	0	0	0	гайхсан
abacus	0	0	0	0	0	0	0	0	0	1	абакус
abandon	0	0	0	1	0	1	0	1	0	0	орхих
abandoned	1	0	0	1	0	1	0	1	0	0	хаягдсан
abandonment	1	0	0	1	0	1	0	1	1	0	орхих
abate	0	0	0	0	0	0	0	0	0	0	бууруулах
abatement	0	0	0	0	0	0	0	0	0	0	бууруулах
abba	0	0	0	0	0	0	1	0	0	0	авба
abbot	0	0	0	0	0	0	0	0	0	1	хамба лам
abbreviate	0	0	0	0	0	0	0	0	0	0	товчилно
abbreviation	0	0	0	0	0	0	0	0	0	0	товчлол
abdomen	0	0	0	0	0	0	0	0	0	0	хэвлий
abdominal	0	0	0	0	0	0	0	0	0	0	хэвлийн
abduction	0	0	0	1	0	1	0	1	1	0	хулгайлах
aberrant	0	0	0	0	0	1	0	0	0	0	гажуудал
aberration	0	0	1	0	0	1	0	0	0	0	гажуудал
abeyance	0	0	0	0	0	0	0	0	0	0	завсарлага
abhor	1	0	1	1	0	1	0	0	0	0	жигших
abhorrent	1	0	1	1	0	1	0	0	0	0	жигшүүртэй
abide	0	0	0	0	0	0	0	0	0	0	дагах
ability	0	0	0	0	0	0	1	0	0	0	чадвар
abject	0	0	1	0	0	1	0	0	0	0	адгийн
ablation	0	0	0	0	0	0	0	0	0	0	аблаци
ablaze	0	0	0	0	0	0	0	0	0	0	дүрэлзэнэ
abnormal	0	0	1	0	0	1	0	0	0	0	хэвийн бус
aboard	0	0	0	0	0	0	0	0	0	0	онгоцонд
abode	0	0	0	0	0	0	0	0	0	0	оршин суух
abolish	1	0	0	0	0	1	0	0	0	0	цуцлах
abolition	0	0	0	0	0	1	0	0	0	0	цуцлах
abominable	0	0	1	1	0	1	0	0	0	0	жигшүүрт
abomination	1	0	1	1	0	1	0	0	0	0	жигшүүрт зүйл
aboriginal	0	0	0	0	0	0	0	0	0	0	уугуул
abort	0	0	0	0	0	1	0	0	0	0	цуцлах
abortion	0	0	1	1	0	1	0	1	0	0	үр хөндөлт
abortive	0	0	0	0	0	1	0	1	0	0	үр дүнгүй
abound	0	0	0	0	0	0	0	0	0	0	элбэг
abovementioned	0	0	0	0	0	0	1	0	0	0	дээр дурдагдсан
abrasion	0	0	0	0	0	1	0	0	0	0	элэгдэл
abroad	0	0	0	0	0	0	0	0	0	0	гадаадад
abrogate	0	0	0	0	0	1	0	0	0	0	хүчингүй болгох
abrupt	0	0	0	0	0	0	0	0	1	0	огцом
abruptly	0	0	0	0	0	0	0	0	0	0	гэнэт
abscess	0	0	0	0	0	1	0	1	0	0	буглаа
absence	0	0	0	1	0	1	0	1	0	0	байхгүй
absent	0	0	0	0	0	1	0	1	0	0	байхгүй
absentee	0	0	0	0	0	1	0	1	0	0	эзгүй хүн
absenteeism	0	0	0	0	0	1	0	0	0	0	ажил таслалт
absinthe	0	0	0	0	0	0	0	0	0	0	абсинт
absolute	0	0	0	0	0	0	1	0	0	0	үнэмлэхүй
absolution	0	0	0	0	1	0	1	0	0	1	өршөөл
absorbed	0	0	0	0	0	0	1	0	0	0	шингэсэн
absorbent	0	0	0	0	0	0	0	0	0	0	шингээгч
absorbing	0	0	0	0	0	0	0	0	0	0	шингээх
absorption	0	0	0	0	0	0	0	0	0	0	шингээлт
abstain	0	0	0	0	0	0	0	0	0	0	татгалзах
abstention	0	0	0	0	0	0	0	0	0	0	түдгэлзсэн
abstinence	0	0	0	0	0	0	0	0	0	0	цээрлэх
abstract	0	0	0	0	0	0	0	0	0	0	хийсвэр
abstraction	0	0	0	0	0	0	0	0	0	0	хийсвэрлэл
absurd	0	0	0	0	0	1	0	0	0	0	утгагүй
absurdity	0	0	0	0	0	1	0	0	0	0	утгагүй байдал
abundance	0	1	1	0	1	1	1	0	0	1	элбэг дэлбэг байдал
abundant	0	0	0	0	1	0	1	0	0	0	элбэг дэлбэг
abuse	1	0	1	1	0	1	0	1	0	0	хүчирхийлэл
abutment	0	0	0	0	0	0	0	0	0	0	тулгуур
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	гашуун
abyss	0	0	0	1	0	1	0	1	0	0	ангал
academic	0	0	0	0	0	0	1	0	0	1	академик
academy	0	0	0	0	0	0	1	0	0	0	академи
accede	0	0	0	0	0	0	0	0	0	0	нэгдэх
accelerate	0	1	0	0	0	0	0	0	0	0	хурдасгах
acceleration	0	0	0	0	0	0	0	0	0	0	хурдатгал
accent	0	0	0	0	0	0	0	0	0	0	өргөлт
accentuate	0	0	0	0	0	0	0	0	0	0	онцлох
accept	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрөх
acceptable	0	0	0	0	0	0	1	0	0	0	хүлээн зөвшөөрөх боломжтой
acceptance	0	0	0	0	0	0	1	0	0	0	хүлээн зөвшөөрөх
access	0	0	0	0	0	0	0	0	0	0	хандалт
accessible	0	0	0	0	0	0	1	0	0	0	хүртээмжтэй
accession	0	0	0	0	0	0	0	0	0	0	элсэлт
accessory	0	0	0	0	0	0	0	0	0	0	дагалдах хэрэгсэл
accident	0	0	0	1	0	1	0	1	1	0	осол
accidental	0	0	0	1	0	1	0	0	1	0	санамсаргүй
accidentally	0	0	0	0	0	0	0	0	1	0	санамсаргүйгээр
accolade	0	1	0	0	1	0	1	0	1	1	магтаал
accommodate	0	0	0	0	0	0	0	0	0	0	байрлуулах
accommodation	0	0	0	0	0	0	1	0	0	0	байр
accompaniment	0	1	0	0	1	0	1	0	0	1	дагалдан
accompany	0	0	0	0	0	0	0	0	0	0	дагалдан явах
accompanying	0	0	0	0	0	0	0	0	0	0	дагалдан яваа
accomplice	0	0	0	0	0	0	0	0	0	0	хамсаатан
accomplish	0	0	0	0	1	0	1	0	0	0	гүйцэлдүүлэх
accomplished	0	0	0	0	1	0	1	0	0	0	биелсэн
accomplishment	0	0	0	0	0	0	1	0	0	0	амжилт
accord	0	0	0	0	0	0	1	0	0	1	тохиролцоо
accordance	0	0	0	0	0	0	0	0	0	0	дагуу
accordion	0	0	0	0	0	0	0	0	0	0	баян хуур
account	0	0	0	0	0	0	0	0	0	1	данс
accountability	0	0	0	0	0	0	1	0	0	1	хариуцлага
accountable	0	0	0	0	0	0	1	0	0	1	хариуцлагатай
accountant	0	0	0	0	0	0	0	0	0	1	нягтлан бодогч
accounting	0	0	0	0	0	0	0	0	0	0	нягтлан бодох бүртгэл
accounts	0	0	0	0	0	0	0	0	0	1	дансууд
accredited	0	0	0	0	0	0	1	0	0	1	итгэмжлэгдсэн
accretion	0	0	0	0	0	0	0	0	0	0	хуримтлагдах
accrue	0	0	0	0	0	0	0	0	0	0	хуримтлагдах
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	хуримтлуулах
accumulation	0	0	0	0	0	0	0	0	0	0	хуримтлал
accuracy	0	0	0	0	0	0	0	0	0	0	нарийвчлал
accurate	0	0	0	0	0	0	1	0	0	1	үнэн зөв
accursed	1	0	0	1	0	1	0	1	0	0	хараагдсан
accusation	1	0	1	0	0	1	0	0	0	0	буруутгах
accusative	0	0	0	0	0	1	0	0	0	0	буруутгагч
accused	1	0	0	1	0	1	0	0	0	0	яллагдагч
accuser	1	0	0	1	0	1	0	0	0	0	буруутгагч
accusing	1	0	0	1	0	1	0	0	0	0	буруутгаж байна
accustomed	0	0	0	0	0	0	0	0	0	0	дассан
ace	0	0	0	0	0	0	1	0	0	0	хөзрийн тамга
acetic	0	0	0	0	0	0	0	0	0	0	цууны
ache	0	0	0	0	0	1	0	1	0	0	өвдөх
achieve	0	0	0	0	1	0	1	0	0	1	хүрэх
achievement	0	1	0	0	1	0	1	0	0	1	ололт амжилт
aching	0	0	0	0	0	1	0	1	0	0	өвдөж байна
acid	0	0	0	0	0	1	0	0	0	0	хүчил
acidity	0	0	0	0	0	0	0	0	0	0	хүчиллэг
acknowledge	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрөх
acknowledged	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрсөн
acknowledgment	0	0	0	0	0	0	1	0	0	0	хүлээн зөвшөөрөх
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустик
acoustics	0	0	0	0	0	0	0	0	0	0	акустик
acquaint	0	0	0	0	0	0	0	0	0	0	танил
acquaintance	0	0	0	0	0	0	0	0	0	0	танил
acquainted	0	0	0	0	0	0	0	0	0	0	танилцсан
acquiescence	0	0	0	0	0	0	0	0	0	0	хүлцэнгүй байдал
acquire	0	0	0	0	0	0	1	0	0	0	олж авах
acquiring	0	1	0	0	0	0	1	0	0	0	олж авах
acquisition	0	0	0	0	0	0	0	0	0	0	олж авах
acquisitions	0	0	0	0	0	0	0	0	0	0	худалдан авалт
acreage	0	0	0	0	0	0	0	0	0	0	га талбай
acres	0	0	0	0	0	0	0	0	0	0	акр
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	үйлдэл хийх
acting	0	0	0	0	0	0	0	0	0	0	жүжиглэх
action	0	0	0	0	0	0	1	0	0	0	үйлдэл
actionable	1	0	1	0	0	1	0	0	0	0	үйлдэл хийх боломжтой
active	0	0	0	0	0	0	0	0	0	0	идэвхтэй
activity	0	0	0	0	0	0	0	0	0	0	үйл ажиллагаа
actor	0	0	0	0	0	0	0	0	0	0	жүжигчин
actual	0	0	0	0	0	0	1	0	0	0	бодит
actuality	0	0	0	0	0	0	0	0	0	0	бодит байдал
actuary	0	0	0	0	0	0	0	0	0	0	актуари
acuity	0	0	0	0	0	0	1	0	0	0	хурц тод байдал
acumen	0	0	0	0	0	0	1	0	0	0	хурц ухаан
acupuncture	0	0	0	0	0	0	0	0	0	0	зүүний эмчилгээ
acutely	0	0	0	0	0	0	0	0	0	0	хурцаар
